物品ID	物品名称	UI图标	场景图标	物品描述	物品类型	购买后等待时间	购买前等待时间	
1019	锦鲤 Lv.9	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1020	锦鲤 Lv.10	jiayuan_item_yu1	jiayuan_item_yu1	售卖可获得钻石，有几率获得钞票，升级后奖励提高。	6	2	1	
1021	螃蟹 Lv.1	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1022	螃蟹 Lv.2	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1023	螃蟹 Lv.3	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1024	螃蟹 Lv.4	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1025	螃蟹 Lv.5	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1026	螃蟹 Lv.6	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1027	螃蟹 Lv.7	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1028	螃蟹 Lv.8	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1029	螃蟹 Lv.9	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1030	螃蟹 Lv.10	jiayuan_item_yu3	jiayuan_item_yu3	售卖可获得钻石，有几率获得经验，升级后奖励提高。	6	2	1	
1031	小龙虾 Lv.1	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1032	小龙虾 Lv.2	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1033	小龙虾 Lv.3	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1034	小龙虾 Lv.4	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1035	小龙虾 Lv.5	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1036	小龙虾 Lv.6	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1037	小龙虾 Lv.7	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1038	小龙虾 Lv.8	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1039	小龙虾 Lv.9	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1040	小龙虾 Lv.10	jiayuan_item_yu2	jiayuan_item_yu2	售卖可获得钻石，有几率获得体力，升级后奖励提高。	6	2	1	
1041	河蚌 Lv.1	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1042	河蚌 Lv.2	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1043	河蚌 Lv.3	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1044	河蚌 Lv.4	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1045	河蚌 Lv.5	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1046	河蚌 Lv.6	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1047	河蚌 Lv.7	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1048	河蚌 Lv.8	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1049	河蚌 Lv.9	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
1050	河蚌 Lv.10	jiayuan_item_yu4	jiayuan_item_yu4	售卖可获得钻石，有几率获得成就点，升级后奖励提高。	6	2	1	
2011	种植可收获1级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.1	7	3	1	
2012	种植可收获2级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.2	7	3	1	
2013	种植可收获3级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.3	7	3	1	
2014	种植可收获4级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.4	7	3	1	
2015	种植可收获5级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.5	7	3	1	
2016	种植可收获6级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.6	7	3	1	
2017	种植可收获7级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.7	7	3	1	
2018	种植可收获8级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.8	7	3	1	
2019	种植可收获9级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.9	7	3	1	
2020	种植可收获10级水仙	jiayuan_item_zhongzi2	jiayuan_zhiwu_shuijian_3	水仙种子 Lv.10	7	3	1	
2021	种植可收获1级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.1	7	3	1	
2022	种植可收获2级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.2	7	3	1	
2023	种植可收获3级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.3	7	3	1	
2024	种植可收获4级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.4	7	3	1	
2025	种植可收获5级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.5	7	3	1	
2026	种植可收获6级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.6	7	3	1	
2027	种植可收获7级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.7	7	3	1	
2028	种植可收获8级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.8	7	3	1	
2029	种植可收获9级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.9	7	3	1	
2030	种植可收获10级君子兰	jiayuan_item_zhongzi3	jiayuan_zhiwu_junzilan_3	君子兰种子 Lv.10	7	3	1	
2031	种植可收获1级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.1	7	3	1	
2032	种植可收获2级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.2	7	3	1	
2033	种植可收获3级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.3	7	3	1	
2034	种植可收获4级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.4	7	3	1	
2035	种植可收获5级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.5	7	3	1	
2036	种植可收获6级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.6	7	3	1	
2037	种植可收获7级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.7	7	3	1	
2038	种植可收获8级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.8	7	3	1	
2039	种植可收获9级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.9	7	3	1	
2040	种植可收获10级芦荟	jiayuan_item_zhongzi4	jiayuan_zhiwu_luhui_3	芦荟种子 Lv.10	7	3	1	
2041	种植可收获1级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.1	7	3	1	
2042	种植可收获2级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.2	7	3	1	
2043	种植可收获3级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.3	7	3	1	
2044	种植可收获4级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.4	7	3	1	
2045	种植可收获5级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.5	7	3	1	
2046	种植可收获6级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.6	7	3	1	
2047	种植可收获7级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.7	7	3	1	
2048	种植可收获8级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.8	7	3	1	
2049	种植可收获9级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.9	7	3	1	
2050	种植可收获10级蔷薇	jiayuan_item_zhongzi1	jiayuan_zhiwu_qiangwei_3	蔷薇种子 Lv.10	7	3	1	
3011	水仙 Lv.1	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3012	水仙 Lv.2	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3013	水仙 Lv.3	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3014	水仙 Lv.4	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3015	水仙 Lv.5	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3016	水仙 Lv.6	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3017	水仙 Lv.7	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3018	水仙 Lv.8	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3019	水仙 Lv.9	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3020	水仙 Lv.10	jiayuan_zhiwu_shuijian_3	jiayuan_zhiwu_shuijian_3	售卖可获得金币，有几率获得钻石，升级后奖励提高。	7	3	1	
3021	君子兰 Lv.1	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3022	君子兰 Lv.2	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3023	君子兰 Lv.3	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3024	君子兰 Lv.4	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3025	君子兰 Lv.5	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3026	君子兰 Lv.6	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3027	君子兰 Lv.7	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3028	君子兰 Lv.8	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3029	君子兰 Lv.9	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3030	君子兰 Lv.10	jiayuan_zhiwu_junzilan_3	jiayuan_zhiwu_junzilan_3	售卖可获得金币，有几率获得经验，升级后奖励提高。	7	3	1	
3031	芦荟 Lv.1	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3032	芦荟 Lv.2	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3033	芦荟 Lv.3	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3034	芦荟 Lv.4	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3035	芦荟 Lv.5	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3036	芦荟 Lv.6	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3037	芦荟 Lv.7	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3038	芦荟 Lv.8	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3039	芦荟 Lv.9	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3040	芦荟 Lv.10	jiayuan_zhiwu_luhui_3	jiayuan_zhiwu_luhui_3	售卖可获得金币，有几率获得体力，升级后奖励提高。	7	3	1	
3041	蔷薇 Lv.1	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3042	蔷薇 Lv.2	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3043	蔷薇 Lv.3	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3044	蔷薇 Lv.4	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3045	蔷薇 Lv.5	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3046	蔷薇 Lv.6	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3047	蔷薇 Lv.7	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3048	蔷薇 Lv.8	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3049	蔷薇 Lv.9	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
3050	蔷薇 Lv.10	jiayuan_zhiwu_qiangwei_3	jiayuan_zhiwu_qiangwei_3	售卖可获得金币，有几率获得成就点，升级后奖励提高。	7	3	1	
